"R0000100","R0618301","T4112300"
2913,12978,-5
2914,9607,24000
2915,99370,213000
2916,84349,-5
2917,36294,-2
2918,53239,150000
2919,18256,-1
2920,52232,121000
2921,39227,131000
2922,48526,-5
2923,57962,146000
2924,57653,-5
2925,98916,-5
2926,93305,-5
2927,88659,-5
2928,96193,52000
2929,84197,58000
2930,70097,78000
2931,-5,-5
2932,1110,-5
2933,3573,-2
2934,18123,12993
2935,-4,-5
2936,70882,55050
2937,61074,-5
2938,36114,182000
2939,98472,157000
2940,-4,92000
2941,92533,497763
2942,18324,13516
2943,93766,-5
2944,64365,66000
2945,70940,77525
2946,85937,133200
2947,73810,-5
2948,79666,-2
2949,52547,48000
2950,81036,207500
2951,19438,1920
2952,54754,154975
2953,33606,30000
2954,2451,-5
2955,89238,-1
2956,70358,-5
2957,80160,-2
2958,90655,190200
2959,77435,-2
2960,6594,11052
2961,78001,220000
2962,59686,222300
2963,78539,8400
2964,60684,90500
2965,-4,0
2966,869,-5
2967,36830,-5
2968,30614,45000
2969,19370,-5
2970,2926,13152
2971,2081,-2
2972,41856,-5
2973,37194,10280
2974,31213,76000
2975,95172,76000
2976,68200,72000
2977,40065,101040
2978,36622,216000
2979,46418,87500
2980,98312,497763
2981,53000,-5
2982,90188,-5
2983,18111,86742
2984,96417,268000
2985,90461,144600
2986,70202,-5
2987,100000,-2
2988,78044,166500
2989,99192,155440
2990,74992,59480
2991,60487,135000
2992,-4,-5
2993,-4,23427
2994,64927,148050
2995,28057,102800
2996,68855,46000
2997,56956,99964
2998,65906,-5
2999,63020,84968
3000,27564,-5
3001,83613,-5
3002,5944,-5
3003,65670,0
3004,-4,12000
3005,53987,-5
3006,51747,-5
3007,50597,-5
3008,22280,-5
3009,10289,-5
3010,21722,17100
3011,86942,497763
3012,50059,35000
3013,42897,35540
3014,6411,0
3015,57016,280000
3016,79756,100000
3017,91558,-1
3018,78261,10
3019,63843,-2
3020,47078,-2
3021,20071,-2
3022,54075,-5
3023,35837,118000
3024,27309,60020
3025,94201,124300
3026,46776,-5
3027,-4,37000
3028,81959,22800
3029,-4,-5
3030,9639,-2
3031,40819,-5
3032,3403,-5
3033,75947,120000
3034,43680,-5
3035,71321,45000
3036,84533,93093
3037,72993,105000
3038,-4,-5
3039,71201,45000
3040,45475,-5
3041,92464,13000
3042,48152,100000
3043,71492,54535
3044,-4,-5
3045,-4,15792
3046,13119,-1
3047,35153,59700
3048,52489,-5
3049,16244,-5
3050,3838,-5
3051,42040,28000
3052,53278,-1
3053,76213,-5
3054,29399,36000
3055,18999,39225
3056,95032,-5
3057,19496,31000
3058,49827,131000
3059,15551,60200
3060,17174,-2
3061,49223,280000
3062,82256,257504
3063,-4,100000
3064,26227,26000
3065,10181,-5
3066,43898,-5
3067,-5,-5
3068,36196,-1
3069,21782,-1
3070,1299,-5
3071,2840,-1
3072,19121,0
3073,8799,-2
3074,336,-5
3075,4881,-2
3076,41502,-1
3077,16973,-2
3078,50564,-5
3079,55687,32000
3080,22789,54000
3081,63437,27025
3082,58906,66000
3083,45819,61000
3084,89903,497763
3085,87496,159050
3086,95692,-5
3087,-5,-5
3088,-5,60000
3089,93403,53000
3090,73371,38875
3091,39958,50000
3092,-5,-5
3093,18165,20000
3094,14147,42000
3095,42733,3000
3096,53650,-2
3097,34227,95000
3098,79047,17600
3099,57237,141500
3100,27065,65500
3101,59484,-5
3102,97618,85000
3103,953,65000
3104,24392,-2
3105,67298,-2
3106,85394,108000
3107,65348,29250
3108,46813,111136
3109,98588,106000
3110,90778,-5
3111,80097,120010
3112,44232,120000
3113,40008,-2
3114,23306,27000
3115,83625,497763
3116,63440,126065
3117,64261,-5
3118,35994,-2
3119,4175,-5
3120,34968,47000
3121,68011,-5
3122,86910,86403
3123,90601,73200
3124,83367,92100
3125,24481,-2
3126,73387,-5
3127,16094,21000
3128,57010,80000
3129,36672,28800
3130,93498,-5
3131,74542,-5
3132,93545,-5
3133,93686,-5
3134,21288,30000
3135,45188,-5
3136,-4,-5
3137,85855,104000
3138,37729,200000
3139,89196,-5
3140,52478,-5
3141,94082,-2
3142,100000,208964
3143,50223,155080
3144,6432,-5
3145,80710,180000
3146,74184,79000
3147,81524,-5
3148,4382,49030
3149,38949,-5
3150,85289,497763
3151,39186,59000
3152,81144,120000
3153,79758,-1
3154,87711,-5
3155,29317,-5
3156,78547,182500
3157,56562,186150
3158,83152,-5
3159,69350,42000
3160,-4,60000
3161,49448,35000
3162,95012,185000
3163,35413,110000
3164,15220,50400
3165,40180,80000
3166,99463,59749
3167,100000,13000
3168,90399,172110
3169,91471,-5
3170,98699,497763
3171,96789,497763
3172,97598,497763
3173,96915,220000
3174,-4,-2
3175,22578,-1
3176,60884,-5
3177,15835,64000
3178,25222,-5
3179,76903,78000
3180,92801,-5
3181,96586,497763
3182,99923,-1
3183,81120,-5
3184,86549,-5
3185,83977,-5
3186,70703,-1
3187,97762,497763
3188,23362,-5
3189,74512,-5
3190,17018,63303
3191,12665,-1
3192,31785,-2
3193,75440,98540
3194,25518,50000
3195,59617,74832
3196,66428,151000
3197,43955,45000
3198,69661,135000
3199,16749,58000
3200,24193,63700
3201,88518,-2
3202,34983,-5
3203,43176,46000
3204,52129,-5
3205,83732,181000
3206,49106,82050
3207,57768,158000
3208,92189,250000
3209,53889,-5
3210,67243,-5
3211,49313,-5
3212,94747,-5
3213,74571,-5
3214,73204,-2
3215,68957,53200
3216,95111,215000
3217,-4,-5
3218,50820,55088
3219,60974,86400
3220,80835,-5
3221,87803,119050
3222,75354,-5
3223,92292,-5
3224,77251,183000
3225,81344,89000
3226,98716,-5
3227,100000,116624
3228,74327,155000
3229,82125,134000
3230,8961,22000
3231,61426,74287
3232,45018,72200
3233,40697,-5
3234,64311,102500
3235,74936,26225
3236,69055,2400
3237,45032,52000
3238,85024,38000
3239,63447,-5
3240,96819,497763
3241,89103,-5
3242,55896,115000
3243,58532,104000
3244,82180,96000
3245,51236,130000
3246,38573,82030
3247,43302,250000
3248,77003,84000
3249,56140,51000
3250,99453,110000
3251,78718,70000
3252,28527,20000
3253,572,10580
3254,67565,69500
3255,91683,30000
3256,97873,237000
3257,98634,165042
3258,89343,-1
3259,1145,4920
3260,3283,-5
3261,16527,25000
3262,22175,-5
3263,96452,103910
3264,21626,-2
3265,29955,31200
3266,44505,-2
3267,78896,14000
3268,22938,5184
3269,47051,36855
3270,1277,-5
3271,-4,-2
3272,16201,-5
3273,10456,25000
3274,-4,37440
3275,84104,85000
3276,64978,153200
3277,84126,-5
3278,60446,126024
3279,13410,-1
3280,61654,-1
3281,55405,-2
3282,33772,176000
3283,14537,-5
3284,50333,143860
3285,14453,-2
3286,75710,-5
3287,39989,125500
3288,20051,-5
3289,94381,-5
3290,93795,235500
3291,53457,194200
3292,41120,-5
3293,63654,-5
3294,94740,100500
3295,94806,-5
3296,61616,-5
3297,13034,0
3298,1046,-5
3299,42659,-5
3300,12454,-5
3301,50796,25000
3302,77135,206200
3303,94269,113010
3304,80934,95020
3305,78189,181325
3306,25048,11040
3307,21330,-2
3308,20264,10356
3309,92951,-2
3310,27814,70000
3311,18024,26000
3312,6887,-2
3313,1739,-2
3314,48817,-5
3315,34992,43916
3316,11714,8942
3317,2463,12816
3318,2123,-5
3319,15354,-1
3320,5019,-5
3321,12579,25000
3322,11508,20000
3323,27875,-5
3324,30357,-2
3325,4022,2506
3326,3975,-5
3327,11116,-2
3328,54747,-5
3329,70007,0
3330,21713,109000
3331,18388,36640
3332,-4,16696
3333,-4,95000
3334,28972,2400
3335,53555,-5
3336,21195,-5
3337,89081,170040
3338,89463,31517
3339,89511,-5
3340,51000,-5
3341,38607,84200
3342,21982,49000
3343,24527,5568
3344,51012,-5
3345,46920,-1
3346,19847,69200
3347,35431,45000
3348,31705,-5
3349,18676,-5
3350,59694,54228
3351,64625,12000
3352,76359,153650
3353,16881,49000
3354,32157,29900
3355,62443,-2
3356,43776,9732
3357,63141,240000
3358,77831,-5
3359,72763,30192
3360,67272,-1
3361,75092,497763
3362,34454,10980
3363,77027,-2
3364,84004,-5
3365,42299,-1
3366,74270,-5
3367,98982,109000
3368,99400,223400
3369,91112,215000
3370,76987,150100
3371,31539,0
3372,18701,-1
3373,17885,-5
3374,51063,115500
3375,48318,-2
3376,74979,-5
3377,85986,-5
3378,58958,100100
3379,81031,186000
3380,90763,101000
3381,79141,78000
3382,77607,-5
3383,68563,-5
3384,66224,-5
3385,86301,-1
3386,34209,-5
3387,65907,102001
3388,98970,-5
3389,72590,114000
3390,80348,84000
3391,100000,94003
3392,33465,-2
3393,27639,32000
3394,65826,160400
3395,75491,-5
3396,84632,-5
3397,48483,-5
3398,54253,-5
3399,80288,61016
3400,16139,-2
3401,35316,51188
3402,65213,123000
3403,52847,209000
3404,89713,-5
3405,95206,82000
3406,87896,47200
3407,-4,-5
3408,25825,-5
3409,62361,-5
3410,73196,127000
3411,86623,-5
3412,-5,-5
3413,73678,136200
3414,52758,-5
3415,40203,-5
3416,41012,90400
3417,41461,4752
3418,46630,51000
3419,41650,165000
3420,76206,85000
3421,77549,110000
3422,75246,136000
3423,89754,47000
3424,86745,86050
3425,79069,-5
3426,93457,214000
3427,91975,-5
3428,96365,243000
3429,84702,250
3430,98418,62000
3431,100000,230100
3432,92486,153000
3433,68906,497763
3434,27003,260000
3435,131,12792
3436,0,-2
3437,0,-5
3438,0,21000
3439,55549,-5
3440,12346,95000
3441,15622,29400
3442,95099,-5
3443,95575,-5
3444,25156,13560
3445,70650,132520
3446,34824,-5
3447,8376,36000
3448,-5,-5
3449,-5,-5
3450,-4,-5
3451,-4,58400
3452,44827,33520
3453,28581,70600
3454,-5,-2
3455,63061,-5
3456,39194,120000
3457,14135,120000
3458,25830,99000
3459,83153,57515
3460,22708,14700
3461,88411,50600
3462,47612,-5
3463,63241,77000
3464,96279,190000
3465,82154,60000
3466,88224,161075
3467,43428,122006
3468,94705,80000
3469,97109,95967
3470,49625,-5
3471,18838,90000
3472,58518,-5
3473,30285,194000
3474,12607,140000
3475,18263,66330
3476,33828,123500
3477,63210,-5
3478,43424,-5
3479,39476,135000
3480,25652,-5
3481,65371,-2
3482,14447,110200
3483,23172,59000
3484,5647,-5
3485,93419,-5
3486,83037,193500
3487,34632,142015
3488,53699,-5
3489,49900,162000
3490,-5,-5
3491,21083,112500
3492,66416,59000
3493,56788,97000
3494,51167,105000
3495,36121,107015
3496,63829,169191
3497,91675,179500
3498,22579,-5
3499,-4,-5
3500,55835,-5
3501,22447,-5
3502,43096,100600
3503,56814,-5
3504,37546,-5
3505,56313,178064
3506,79063,134300
3507,75331,-5
3508,21706,62540
3509,-4,60000
3510,18559,-5
3511,81893,40000
3512,19351,64500
3513,18312,34000
3514,74184,9600
3515,99396,160500
3516,26619,64000
3517,44921,-5
3518,23609,-5
3519,5699,19000
3520,33591,101000
3521,40802,18000
3522,13607,100000
3523,61807,79811
3524,27020,62500
3525,98118,-5
3526,36108,-5
3527,58406,-2
3528,44683,-5
3529,54924,-5
3530,95493,95000
3531,65807,56700
3532,53789,91335
3533,85393,150500
3534,89897,-5
3535,92404,186460
3536,63329,-5
3537,38672,100000
3538,67319,37515
3539,17587,216
3540,36551,33500
3541,11028,-5
3542,12436,-2
3543,29695,11100
3544,5665,200
3545,40382,-2
3546,55054,108280
3547,40401,-2
3548,23819,45000
3549,29121,20480
3550,62616,85000
3551,95741,124200
3552,83704,92100
3553,78494,31720
3554,65232,72840
3555,30231,78000
3556,26054,65392
3557,34815,60000
3558,72743,195250
3559,83662,-2
3560,80612,62500
3561,4231,99430
3562,16231,7000
3563,25734,54000
3564,12964,36000
3565,84823,-5
3566,46411,72000
3567,62489,18012
3568,29205,76000
3569,19175,53000
3570,4347,78400
3571,20536,-5
3572,18677,-5
3573,99639,73000
3574,98092,90080
3575,28797,75000
3576,64704,-2
3577,2051,-5
3578,17919,88000
3579,42908,-2
3580,75229,94800
3581,55513,185000
3582,77911,497763
3583,99022,149300
3584,18188,10222
3585,94650,-5
3586,-5,40050
3587,76091,142560
3588,71155,111400
3589,51560,60249
3590,90906,52006
3591,77562,25716
3592,61802,52000
3593,71054,69100
3594,29377,112100
3595,40522,200000
3596,48605,-5
3597,54584,65700
3598,21334,-2
3599,52464,-5
3600,57648,-5
3601,79229,93030
3602,62217,101320
3603,61383,90000
3604,26294,82000
3605,74851,60000
3606,57872,67800
3607,32823,-5
3608,90060,74150
3609,50181,26141
3610,18919,0
3611,45548,112000
3612,41128,9520
3613,74682,65000
3614,91863,149632
3615,82777,-5
3616,91974,36736
3617,78008,127000
3618,56642,70000
3619,88649,70000
3620,38967,124000
3621,8637,-5
3622,4654,-5
3623,92432,196000
3624,93901,79538
3625,92207,92000
3626,47680,51000
3627,59848,160000
3628,50492,497763
3629,79523,29000
3630,95098,85455
3631,13005,-5
3632,12979,-2
3633,-4,5000
3634,14817,24000
3635,14534,72572
3636,57089,-1
3637,12785,78000
3638,30405,-5
3639,3490,36000
3640,1107,31000
3641,44391,-5
3642,37705,-5
3643,33724,114700
3644,35297,-5
3645,20119,-5
3646,55556,-5
3647,22295,-2
3648,39675,30000
3649,12016,74000
3650,33934,66400
3651,50502,191000
3652,9648,5000
3653,63556,-5
3654,10147,-2
3655,22394,65000
3656,53812,-5
3657,8601,27000
3658,1122,-2
3659,25028,10800
3660,6285,-2
3661,38955,68700
3662,17578,24000
3663,69892,-5
3664,78053,-5
3665,66805,-5
3666,89195,-5
3667,76656,-2
3668,99384,182100
3669,93677,-5
3670,98204,-5
3671,97927,-5
3672,80718,-5
3673,83039,-5
3674,59352,-5
3675,78493,139000
3676,90283,85030
3677,90778,-2
3678,80034,-5
3679,67885,145000
3680,87409,103000
3681,-4,221000
3682,90260,-5
3683,98958,-5
3684,99426,-5
3685,74984,497763
3686,76418,160000
3687,38054,110000
3688,98105,-5
3689,95345,497763
3690,97840,170500
3691,-4,14892
3692,9938,-2
3693,33068,22400
3694,40937,98030
3695,50653,-2
3696,52618,-5
3697,23181,10860
3698,20809,-5
3699,11840,-2
3700,48520,28000
3701,-5,-5
3702,49905,100000
3703,226,10560
3704,10380,19248
3705,71213,207000
3706,37080,-2
3707,86836,153000
3708,87553,170100
3709,57749,-2
3710,-4,109167
3711,85588,-5
3712,76789,101200
3713,75413,65600
3714,64857,-5
3715,79829,-5
3716,66546,22200
3717,89157,144000
3718,47308,95000
3719,29347,65000
3720,56677,-5
3721,83258,78696
3722,53708,-2
3723,45716,2400
3724,67589,31419
3725,40026,35000
3726,74917,73500
3727,68751,-5
3728,54236,-5
3729,53447,10590
3730,87574,27000
3731,58123,-5
3732,99473,98600
3733,10922,0
3734,83973,147000
3735,59053,-5
3736,69238,-2
3737,44255,130000
3738,34888,-2
3739,68557,-2
3740,16420,-2
3741,31360,51300
3742,38276,40000
3743,91780,-5
3744,79579,66065
3745,95983,28770
3746,28755,-5
3747,30419,-5
3748,86927,-1
3749,5931,9600
3750,79149,-5
3751,60681,59020
3752,-4,-1
3753,-4,-2
3754,81924,104000
3755,76508,152500
3756,60929,-5
3757,97506,-2
3758,86305,-5
3759,32902,124644
3760,54302,82505
3761,20368,-5
3762,-5,-5
3763,-5,-2
3764,86213,45000
3765,88839,116070
3766,73454,85000
3767,70472,42400
3768,12310,8952
3769,27625,28416
3770,54943,108900
3771,87764,50500
3772,63580,-5
3773,59594,-5
3774,-4,-2
3775,71105,61000
3776,90261,12444
3777,56903,50000
3778,42206,-5
3779,85924,179353
3780,66841,60856
3781,75934,115000
3782,86908,-5
3783,75622,253000
3784,35256,40000
3785,90971,-5
3786,21851,43200
3787,50928,29000
3788,70379,-5
3789,59009,76960
3790,39133,40500
3791,73529,240800
3792,94762,138030
3793,49422,-2
3794,66337,165600
3795,77849,95000
3796,94245,66532
3797,89759,42000
3798,52811,497763
3799,65844,497763
3800,65354,74000
3801,25147,-5
3802,74172,43000
3803,81774,163000
3804,80927,110200
3805,78523,140000
3806,61494,241000
3807,49038,93000
3808,99528,-5
3809,93854,220000
3810,23492,-5
3811,100000,255000
3812,100000,100400
3813,88799,44845
3814,62096,58700
3815,90913,225000
3816,89253,-2
3817,99188,62572
3818,98780,122000
3819,11317,-2
3820,28979,-5
3821,2531,25000
3822,6558,0
3823,-4,12000
3824,49784,62000
3825,9201,29000
3826,3188,-5
3827,8861,76000
3828,20801,28400
3829,49060,220700
3830,44827,73000
3831,32252,-5
3832,39847,-5
3833,50489,50000
3834,93333,-5
3835,74071,-5
3836,90790,117500
3837,57761,75500
3838,57333,120000
3839,32180,134468
3840,10846,20000
3841,37436,-5
3842,57610,20996
3843,-5,-5
3844,84585,48532
3845,54553,14176
3846,74995,-5
3847,46544,98000
3848,-4,140000
3849,37254,69000
3850,64154,86075
3851,33379,14000
3852,50215,10320
3853,94064,22000
3854,67468,260000
3855,93686,497763
3856,35680,-5
3857,94233,-5
3858,24317,-5
3859,16014,14000
3860,97808,73000
3861,91350,72150
3862,80434,-5
3863,92504,36000
3864,79088,-5
3865,92807,497763
3866,74600,10000
3867,70700,0
3868,85012,-5
3869,65503,-5
3870,82358,-5
3871,92529,497763
3872,96590,-2
3873,99342,-2
3874,97670,-5
3875,90868,160000
3876,63988,-2
3877,81416,61450
3878,30393,30000
3879,78030,-5
3880,82583,-5
3881,51305,-2
3882,89269,-5
3883,82984,118000
3884,75101,231000
3885,100000,-5
3886,99600,146000
3887,100000,-5
3888,79761,90000
3889,86544,59080
3890,83431,497763
3891,23773,-5
3892,93865,101900
3893,71653,-5
3894,92888,94000
3895,93615,497763
3896,56741,132000
3897,51486,497763
3898,75594,189000
3899,69025,36000
3900,26617,15020
3901,84705,51000
3902,99914,128000
3903,63919,78000
3904,74430,99000
3905,12010,700
3906,27411,35000
3907,82183,72150
3908,50191,63000
3909,82472,-5
3910,69363,44400
3911,77538,95560
3912,60383,76000
3913,80812,150500
3914,-4,42000
3915,-4,24684
3916,77034,3000
3917,22794,115000
3918,99492,-2
3919,76986,109000
3920,53785,42580
3921,78138,109900
3922,87206,35000
3923,57964,155000
3924,98883,270000
3925,96914,95000
3926,88365,134000
3927,33917,81000
3928,9138,200104
3929,26367,0
3930,45457,-5
3931,-4,20000
3932,24217,-5
3933,3486,142000
3934,16355,62000
3935,-4,-1
3936,2940,-5
3937,25064,-5
3938,1849,24244
3939,-5,-5
3940,9976,-5
3941,-5,0
3942,5525,0
3943,12083,30000
3944,7215,9762
3945,3280,-5
3946,5683,50000
3947,-4,-5
3948,1585,45000
3949,25725,116000
3950,-5,-5
3951,-4,-5
3952,33771,10800
3953,33404,115000
3954,27045,25000
3955,4990,0
3956,65363,-5
3957,46335,-5
3958,13954,55000
3959,28716,-5
3960,16305,40000
3961,27870,58097
3962,79541,62000
3963,34369,63000
3964,79540,243400
3965,69890,185500
3966,78668,-2
3967,64451,260000
3968,92321,46000
3969,84309,82000
3970,80373,85000
3971,99021,-5
3972,80035,128000
3973,39268,-5
3974,42958,-5
3975,4594,-5
3976,5784,-5
3977,16627,0
3978,17848,42622
3979,92481,217440
3980,100000,268000
3981,19851,-5
3982,15147,41844
3983,-4,-5
3984,82152,-5
3985,23502,52036
3986,16813,48000
3987,14441,54000
3988,27336,160000
3989,37626,-2
3990,44948,-5
3991,8842,19920
3992,36821,100000
3993,42890,34000
3994,51047,-5
3995,22435,68500
3996,5375,44000
3997,16509,4620
3998,5933,-2
3999,34421,-5
4000,20640,-5
4001,72427,31525
4002,46128,32000
4003,-5,-5
4004,60943,56000
4005,26462,-2
4006,45724,130600
4007,44062,24000
4008,13462,-2
4009,68077,57800
4010,81673,73000
4011,-5,15000
4012,29529,8280
4013,13418,35000
4014,27247,86500
4015,38207,73000
4016,8873,-2
4017,21535,-2
4018,10707,18000
4019,96219,248000
4020,27754,53400
4021,52841,46000
4022,22701,85000
4023,99700,87600
4024,249,56256
4025,31798,35000
4026,-4,-5
4027,56393,-5
4028,24289,72000
4029,43649,22800
4030,53094,70800
4031,942,55000
4032,84930,49160
4033,84521,-2
4034,66706,59200
4035,57901,107000
4036,44242,71000
4037,87922,17760
4038,41801,24000
4039,68161,13203
4040,52975,-5
4041,74218,58732
4042,65827,95000
4043,46939,497763
4044,27021,-5
4045,29591,-2
4046,13281,15168
4047,8404,35000
4048,79940,18000
4049,41698,76000
4050,67759,-5
4051,85097,71806
4052,85777,33646
4053,52676,268000
4054,33359,63000
4055,93952,497763
4056,68436,105000
4057,70040,-5
4058,77229,213050
4059,96789,-5
4060,84638,-2
4061,33624,-2
4062,78162,44000
4063,-5,40000
4064,91216,-2
4065,69495,100000
4066,67776,185000
4067,40633,24000
4068,11904,15760
4069,29981,0
4070,12697,0
4071,20078,233760
4072,14680,-2
4073,13882,-5
4074,99487,89664
4075,65092,-5
4076,57165,251500
4077,60404,26000
4078,-4,49000
4079,-4,-2
4080,52333,-5
4081,12918,105140
4082,5862,-5
4083,25218,2400
4084,84766,80000
4085,27619,36000
4086,91062,100000
4087,68261,-5
4088,78525,497763
4089,43387,54500
4090,41162,58000
4091,46741,78000
4092,60810,114000
4093,76602,70003
4094,82381,108000
4095,71516,497763
4096,-5,-5
4097,87379,120530
4098,12622,-5
4099,43702,-5
4100,25376,-5
4101,28067,48500
4102,73265,54990
4103,40437,43000
4104,46031,37000
4105,29923,11250
4106,94695,70300
4107,97965,74264
4108,57772,91000
4109,87692,49000
4110,30810,-2
4111,473,20000
4112,2455,-2
4113,8489,-2
4114,59908,163150
4115,69661,-5
4116,78426,-2
4117,17871,47000
4118,6203,-5
4119,9922,-2
4120,24718,89080
4121,6447,10692
4122,95956,200000
4123,18467,15456
4124,64006,70000
4125,50215,30000
4126,-4,0
4127,61471,-5
4128,38548,-5
4129,64073,93000
4130,94,35000
4131,80354,45000
4132,42470,60000
4133,16359,25000
4134,63130,52000
4135,30725,19000
4136,5276,12480
4137,65206,-5
4138,1124,-5
4139,-5,-5
4140,36225,-5
4141,48239,30000
4142,30605,-5
4143,62963,-1
4144,29830,-5
4145,28605,63000
4146,-5,-5
4147,59747,49000
4148,27311,92000
4149,41113,81000
4150,53274,13420
4151,52544,103000
4152,53708,17000
4153,50374,69608
4154,56010,200000
4155,6274,-5
4156,11085,175000
4157,23058,-5
4158,28542,27000
4159,20127,68000
4160,38366,-5
4161,58278,-5
4162,47639,-5
4163,82644,65000
4164,67035,-5
4165,48236,220000
4166,67153,-5
4167,6188,10224
4168,6679,8376
4169,12240,-5
4170,65553,497763
4171,92381,120500
4172,88546,158000
4173,9084,-2
4174,62206,-1
4175,1181,-5
4176,19950,54000
4177,4060,0
4178,3995,19368
4179,41069,59024
4180,46689,96000
4181,35322,10000
4182,12426,120000
4183,8286,-5
4184,42385,-5
4185,24441,25000
4186,57851,-5
4187,40496,100040
4188,73184,12804
4189,6014,-2
4190,99017,-5
4191,91533,137000
4192,90630,-5
4193,84801,-5
4194,34413,17360
4195,12309,70000
4196,2393,32000
4197,6015,8376
4198,13821,30000
4199,5957,3400
4200,17959,49440
4201,7973,-5
4202,10826,-5
4203,12152,-5
4204,21024,26925
4205,4197,5000
4206,5980,-2
4207,86783,51400
4208,72311,82000
4209,3868,-2
4210,884,9552
4211,11081,36000
4212,32175,24000
4213,80634,262000
4214,21275,-2
4215,2625,0
4216,71015,65000
4217,-5,-5
4218,-5,0
4219,31476,70504
4220,46677,-1
4221,8107,44128
4222,73808,-2
4223,45351,200000
4224,70801,-2
4225,45245,26400
4226,92621,76090
4227,88047,122000
4228,20119,87925
4229,30602,-5
4230,90242,132000
4231,53729,19864
4232,68730,20400
4233,51492,-5
4234,51351,50400
4235,13072,35304
4236,85846,117780
4237,60570,25000
4238,90791,55600
4239,37655,52000
4240,63549,112200
4241,-5,-5
4242,43806,-5
4243,2724,-5
4244,92202,248847
4245,64895,50000
4246,-4,60400
4247,29616,20000
4248,75174,124820
4249,65798,23450
4250,-4,-2
4251,25167,111200
4252,67444,80000
4253,58250,-5
4254,54546,14335
4255,54152,-5
4256,14919,-5
4257,46367,58000
4258,59194,-5
4259,9701,7080
4260,91347,-5
4261,16689,-2
4262,32674,144000
4263,18668,-2
4264,12521,-1
4265,57462,50000
4266,10280,-5
4267,18352,19800
4268,82756,112684
4269,41171,69000
4270,20428,71480
4271,13979,-2
4272,38251,-2
4273,13582,-5
4274,14209,45908
4275,16727,45172
4276,8972,-5
4277,6651,-5
4278,62811,89155
4279,65452,-5
4280,96079,155000
4281,74114,-5
4282,45168,42000
4283,21591,-5
4284,68700,-5
4285,50641,137500
4286,-4,25000
4287,80860,-5
4288,86675,65000
4289,95554,497763
4290,92849,-2
4291,25802,-5
4292,69935,98000
4293,90514,100000
4294,-4,110000
4295,41293,125337
4296,54790,87000
4297,62172,116000
4298,92568,111400
4299,73296,58000
4300,86907,-5
4301,50049,11000
4302,80481,139500
4303,53555,69400
4304,-4,61600
4305,9351,36600
4306,86339,72000
4307,83694,-2
4308,68524,27128
4309,63522,-5
4310,53549,-5
4311,59466,70000
4312,1645,40000
4313,8757,10992
4314,32908,-2
4315,12592,-2
4316,31008,0
4317,24866,-2
4318,70744,-2
4319,56376,35568
4320,56538,156000
4321,30292,78000
4322,-4,-5
4323,37618,49000
4324,12131,120000
4325,36872,-5
4326,60762,60000
4327,78064,36000
4328,47451,107000
4329,65403,-5
4330,6546,119000
4331,22588,-5
4332,82848,-5
4333,39194,27000
4334,35164,-5
4335,15933,77000
4336,0,-2
4337,68129,63000
4338,58604,122300
4339,65355,154386
4340,17526,-5
4341,11816,-2
4342,49178,-5
4343,44721,-5
4344,-4,9000
4345,34151,-2
4346,-5,115000
4347,36772,12000
4348,61514,230006
4349,1695,7000
4350,90927,45000
4351,90093,-1
4352,82053,62100
4353,67705,212000
4354,51380,-5
4355,68338,-5
4356,-4,50000
4357,60756,132500
4358,95835,-5
4359,37882,-5
4360,87384,230000
4361,37659,-5
4362,73758,27600
4363,52516,-5
4364,20668,18124
4365,84222,65000
4366,78596,200200
4367,34544,-5
4368,31898,30600
4369,-4,-5
4370,40361,32000
4371,53676,126000
4372,96974,193000
4373,36734,-5
4374,22964,38400
4375,-4,-2
4376,48911,100000
4377,12465,-5
4378,39065,96025
4379,84654,59200
4380,78565,86640
4381,69525,-5
4382,98695,50603
4383,21237,-5
4384,13645,1200
4385,-4,9840
4386,22421,-2
4387,96857,76087
4388,-4,34800
4389,-5,-5
4390,25824,-2
4391,62689,10698
4392,76762,97300
4393,77783,-5
4394,50823,52000
4395,69592,-5
4396,31278,75000
4397,10140,3716
4398,27004,30000
4399,-5,-5
4400,-5,-5
4401,56923,-5
4402,46806,-5
4403,71671,50900
4404,262,17340
4405,17246,119752
4406,95701,-5
4407,93654,497763
4408,77518,112000
4409,29568,79600
4410,58528,178000
4411,49210,107000
4412,15246,-5
4413,11248,-2
4414,-5,-5
4415,-4,-5
4416,4312,7800
4417,4607,6100
4418,50670,-5
4419,86463,120000
4420,46837,120000
4421,90381,130000
4422,59109,85000
4423,91520,-5
4424,86364,110200
4425,93673,24000
4426,95855,225341
4427,52997,65000
4428,99032,274263
4429,93797,95250
4430,76715,40000
4431,8594,-2
4432,42103,20800
4433,11870,-2
4434,1603,-5
4435,23267,72
4436,7471,0
4437,97577,51100
4438,31428,-5
4439,79312,97000
4440,37287,-5
4441,43481,-5
4442,38719,-5
4443,26497,50450
4444,10341,-5
4445,33018,3324
4446,85381,-5
4447,81671,77400
4448,94559,98000
4449,-5,-5
4450,47208,112000
4451,56186,130400
4452,34657,134100
4453,13910,125214
4454,-5,-5
4455,70917,70700
4456,24508,-5
4457,87806,-5
4458,58675,-5
4459,38478,-2
4460,53129,11000
4461,9581,24000
4462,1827,20400
4463,30105,-2
4464,11349,7200
4465,63042,90000
4466,46534,110000
4467,6020,1800
4468,63044,86000
4469,14771,-2
4470,60473,185800
